frame_id,timestamp,time,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,angle.x,angle.y,angle.z,mag.x,mag.y,mag.z,gps_lat,gps_lon,gps_angle,gps_kph,gps_kph_east,gps_kph_north,gps_kph_up,ekf_lat,ekf_lon,ekf_roll,ekf_pitch,ekf_heading
1,16225389719,15:23:52:163,-0.21240234375,0.00244140625,-0.93896484375,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.50258,12.37952,22.9448,0,0,0,0,0,0,0,0,0,-0.1429500429954018,-12.24666493184262,-43.24915056039801
2,16225489696,15:23:52:263,-0.2119140625,0.001953125,-0.93896484375,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.49591,12.49958,22.90478,0,0,0,0,0,0,0,2.536670581281006e-10,-2.277159328202492e-10,-0.1268256872525074,-12.36731595466266,-43.31374365937882
3,16225589729,15:23:52:363,-0.2119140625,0.001953125,-0.93896484375,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.54927,12.37952,23.05819,0,0,0,0,0,0,0,4.296039383885766e-10,-3.952418460295382e-10,-0.1208810347764295,-12.54139100962325,-43.3417201142192
4,16225690055,15:23:52:463,-0.212890625,0.00244140625,-0.93896484375,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.52259,12.37952,22.91812,0,0,0,0,0,0,0,2.882259483211306e-10,-4.047100529209417e-10,-0.1308636230526675,-12.6516311166009,-43.31002803647034
5,16225789930,15:23:52:563,-0.2119140625,0.001953125,-0.939453125,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.5426,12.49958,22.85142,0,0,0,0,0,0,0,3.425099425549389e-12,3.324952187324606e-11,-0.1297018772439571,-12.68743582200376,-43.31544437648216
6,16225890082,15:23:52:663,-0.21240234375,0.00341796875,-0.9384765625,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.51592,12.39953,22.93813,0,0,0,0,0,0,0,-3.262070386324963e-10,-3.456319915218842e-10,-0.1431026950553089,-12.7063776441195,-43.26895810899105
7,16225989964,15:23:52:763,-0.2119140625,0.00244140625,-0.939453125,0,0,0,-176.0833740234375,13.2550048828125,133.8519287109375,18.60263,12.37952,23.13156,0,0,0,0,0,0,0,-4.03602857471871e-10,4.964757770971645e-12,-0.1481323556466564,-12.71209878132303,-43.25153088132377
8,16226090116,15:23:52:863,-0.2119140625,0.00146484375,-0.9384765625,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.5426,12.37952,22.85809,0,0,0,0,0,0,0,-3.136080552194991e-11,4.721674548270651e-10,-0.1443164143347349,-12.71453545130943,-43.26498293889411
9,16226190119,15:23:52:963,-0.212890625,0.00244140625,-0.939453125,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.52926,12.41954,22.93146,0,0,0,0,0,0,0,1.198241515105048e-10,1.021196683904144e-10,-0.1429907039653045,-12.71888286671614,-43.26977431659687
10,16226290068,15:23:53:63,-0.2119140625,0.001953125,-0.9384765625,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.56928,12.41287,23.02484,0,0,0,0,0,0,0,9.836233328479054e-11,3.430538910205489e-10,-0.1408604720168407,-12.72070567345089,-43.27722263788677
11,16226390168,15:23:53:163,-0.2119140625,0.001953125,-0.93798828125,0,0,0,-176.0833740234375,13.2550048828125,133.8519287109375,18.52926,12.41287,22.95147,0,0,0,0,0,0,0,1.271658919932279e-10,4.530120577192785e-10,-0.1386207569384583,-12.72165763106646,-43.28497148750014
12,16226490324,15:23:53:263,-0.212890625,0.0029296875,-0.93798828125,0,0,0,-176.0833740234375,13.260498046875,133.8519287109375,18.52926,12.45956,22.95814,0,0,0,0,0,0,0,1.581965236104155e-10,-3.026701173387676e-10,-0.1391234561933286,-12.72457156052112,-43.28333907228851
