frame_id,timestamp,time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_angle,gps_kph,gps_kph_east,gps_kph_north,gps_kph_up,ekf_lat,ekf_lon,ekf_roll,ekf_pitch,ekf_heading
0,17079872858,15:38:6:646,-0.20703125,0.02978515625,-0.939453125,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.52876,14.72736,22.72469,0,0,0,0,0,0,0,0,0,-1.742209328602239,-11.93236011680614,-50.85138333305399
1,17079973407,15:38:6:746,-0.20654296875,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.51542,14.80073,22.83141,0,0,0,0,0,0,0,1.710294047193975e-10,-2.883017926437756e-10,-1.762378557056169,-12.04952176673395,-50.83834450192843
2,17080073139,15:38:6:846,-0.20703125,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.56211,14.78739,22.77805,0,0,0,0,0,0,0,3.286750267166504e-10,-5.37626935997971e-10,-1.788047795339252,-12.22851882676519,-50.83742584148506
3,17080173000,15:38:6:946,-0.20703125,0.0302734375,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.60213,14.70068,22.90478,0,0,0,0,0,0,0,9.481068247810233e-11,-3.396327364896929e-10,-1.812972756446215,-12.32446334781,-50.79717553670618
4,17080273076,15:38:7:46,-0.20654296875,0.02978515625,-0.939453125,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.52876,14.8074,22.81807,0,0,0,0,0,0,0,-2.474230513050322e-12,2.230640973776044e-11,-1.818193368849632,-12.35950051070487,-50.79636615928953
5,17080373721,15:38:7:147,-0.20654296875,0.0302734375,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.57545,14.69401,22.73136,0,0,0,0,0,0,0,-2.213371161957126e-10,1.138658434559306e-10,-1.82396850723629,-12.3720441531156,-50.7823198752614
6,17080473350,15:38:7:246,-0.20703125,0.02978515625,-0.93994140625,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.57545,14.82074,22.69134,0,0,0,0,0,0,0,-2.208997164373556e-11,1.304045035200132e-10,-1.82448205208451,-12.38038552163948,-50.78470019618715
7,17080573304,15:38:7:346,-0.20654296875,0.029296875,-0.939453125,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.5421,14.7407,22.73136,0,0,0,0,0,0,0,1.523364307940143e-10,4.194066373432368e-10,-1.8208029279994,-12.38398588510572,-50.799357782146
8,17080673379,15:38:7:446,-0.20703125,0.0302734375,-0.939453125,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.58879,14.71402,22.76471,0,0,0,0,0,0,0,9.187985557143973e-12,6.798662591553343e-11,-1.820984781786052,-12.38766223442648,-50.800542819967
9,17080773489,15:38:7:546,-0.20654296875,0.0302734375,-0.9404296875,0,0,0,-177.7642822265625,12.930908203125,141.3995361328125,17.56211,14.86743,22.93813,0,0,0,0,0,0,0,-3.104034363575538e-10,1.514720616421957e-10,-1.822407382124119,-12.38841953165071,-50.79597683850685
